data_suite,join_name,elapsed_time,result,result_rows_count
short-continuous-to-random-normal-short-5000000,rdd-ailist-10-20-10-64,13317,success,5076600
short-continuous-to-random-normal-short-10000000,rdd-ailist-10-20-10-64,25684,success,10602960
short-continuous-to-random-normal-short-50000000,rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 0 in stage 8.0 failed 1 times; most recent failure: Lost task 0.0 in stage 8.0 (TID 40) (192.168.97.6 executor 4): java.lang.OutOfMemoryError: Java heap space
short-continuous-to-random-poisson-short-100000,rdd-ailist-10-20-10-64,24592,success,20000000
short-continuous-to-random-poisson-short-500000,rdd-ailist-10-20-10-64,23559,success,20000000
short-continuous-to-random-poisson-short-1000000,rdd-ailist-10-20-10-64,24412,success,20000000
short-continuous-to-random-poisson-short-5000000,rdd-ailist-10-20-10-64,23631,success,20000000
short-continuous-to-random-poisson-short-10000000,rdd-ailist-10-20-10-64,24407,success,20000000
short-continuous-to-random-poisson-short-50000000,rdd-ailist-10-20-10-64,80066,success,20000000
short-continuous-to-random-uniform-short-100000,rdd-ailist-10-20-10-64,5249,success,197160
short-continuous-to-random-uniform-short-500000,rdd-ailist-10-20-10-64,6138,success,1001560
short-continuous-to-random-uniform-short-1000000,rdd-ailist-10-20-10-64,7695,success,2001360
short-continuous-to-random-uniform-short-5000000,rdd-ailist-10-20-10-64,21586,success,10019800
short-continuous-to-random-uniform-short-10000000,rdd-ailist-10-20-10-64,41664,success,20031480
short-continuous-to-random-uniform-short-50000000,rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 0 in stage 8.0 failed 1 times; most recent failure: Lost task 0.0 in stage 8.0 (TID 40) (192.168.97.6 executor 4): java.lang.OutOfMemoryError: Java heap space
short-continuous-to-short-overlap-100000,rdd-ailist-10-20-10-64,4061,success,39997
short-continuous-to-short-overlap-500000,rdd-ailist-10-20-10-64,4285,success,199997
short-continuous-to-short-overlap-1000000,rdd-ailist-10-20-10-64,4521,success,399997
short-continuous-to-short-overlap-5000000,rdd-ailist-10-20-10-64,7673,success,1999997
short-continuous-to-short-overlap-10000000,rdd-ailist-10-20-10-64,13191,success,3999997
short-continuous-to-short-overlap-50000000,rdd-ailist-10-20-10-64,106345,success,19999997
databio-s-1-2,rdd-ailist-10-20-10-64,4759,success,54343
databio-s-2-7,rdd-ailist-10-20-10-64,5889,success,274259
databio-s-1-0,rdd-ailist-10-20-10-64,6126,success,321138
databio-m-7-0,rdd-ailist-10-20-10-64,6619,success,2764005
databio-m-7-3,rdd-ailist-10-20-10-64,6995,success,4410737
databio-l-0-8,rdd-ailist-10-20-10-64,25565,success,164213737
databio-l-4-8,rdd-ailist-10-20-10-64,1777459,success,227866045
databio-l-7-8,rdd-ailist-10-20-10-64,25898,success,307298035
databio-xl-3-0,rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 17 in stage 8.0 failed 1 times; most recent failure: Lost task 17.0 in stage 8.0 (TID 72) (192.168.97.5 executor 0): java.lang.OutOfMemoryError: Java heap space
