data_suite,join_name,elapsed_time,result,result_rows_count
short-continuous-to-random-poisson-short-500000,rdd-ailist-10-20-10-64,22403,success,20000000
short-continuous-to-random-poisson-short-1000000,rdd-ailist-10-20-10-64,22452,success,20000000
short-continuous-to-random-poisson-short-5000000,rdd-ailist-10-20-10-64,22930,success,20000000
short-continuous-to-random-poisson-short-10000000,rdd-ailist-10-20-10-64,22860,success,20000000
short-continuous-to-random-poisson-short-10000000,rdd-ailist-10-20-10-64,22906,success,20000000
short-continuous-to-random-poisson-short-50000000,rdd-ailist-10-20-10-64,44594,success,20000000
short-continuous-to-random-uniform-short-100000,rdd-ailist-10-20-10-64,4890,success,197160
short-continuous-to-random-uniform-short-500000,rdd-ailist-10-20-10-64,5720,success,1001560
short-continuous-to-random-uniform-short-1000000,rdd-ailist-10-20-10-64,7039,success,2001360
short-continuous-to-random-uniform-short-5000000,rdd-ailist-10-20-10-64,19051,success,10019800
short-continuous-to-random-uniform-short-10000000,rdd-ailist-10-20-10-64,36148,success,20031480
short-continuous-to-random-uniform-short-50000000,rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 0 in stage 8.0 failed 1 times; most recent failure: Lost task 0.0 in stage 8.0 (TID 40) (192.168.107.4 executor 0): java.lang.OutOfMemoryError: Java heap space
short-continuous-to-short-overlap-100000,rdd-ailist-10-20-10-64,3992,success,39997
short-continuous-to-short-overlap-500000,rdd-ailist-10-20-10-64,4455,success,199997
short-continuous-to-short-overlap-1000000,rdd-ailist-10-20-10-64,3924,success,399997
short-continuous-to-short-overlap-5000000,rdd-ailist-10-20-10-64,6719,success,1999997
short-continuous-to-short-overlap-10000000,rdd-ailist-10-20-10-64,11409,success,3999997
short-continuous-to-short-overlap-50000000,rdd-ailist-10-20-10-64,51486,success,19999997
databio-s-1-2,rdd-ailist-10-20-10-64,3893,success,54343
databio-s-2-7,rdd-ailist-10-20-10-64,4734,success,274249
databio-s-1-0,rdd-ailist-10-20-10-64,5077,success,321138
databio-m-7-0,rdd-ailist-10-20-10-64,5685,success,2764093
databio-m-7-3,rdd-ailist-10-20-10-64,6245,success,4410768
databio-l-0-8,rdd-ailist-10-20-10-64,23438,success,164213805
databio-l-4-8,rdd-ailist-10-20-10-64,,Futures timed out after [30 minutes]
databio-l-7-8,rdd-ailist-10-20-10-64,23057,success,307297918
databio-xl-3-0,rdd-ailist-10-20-10-64,,Job aborted due to stage failure: Task 3 in stage 8.0 failed 1 times; most recent failure: Lost task 3.0 in stage 8.0 (TID 58) (192.168.107.4 executor 0): java.lang.OutOfMemoryError: Java heap space
